user,decision,raw_score,choice_prob,selected_data
UserA,Setagaya,0.6826,0.1769,"school_count,population_density,rent_high,transport_score"
UserB,Setagaya,0.4938,0.1173,"school_count,population_density,rent_high,transport_score,commercial_score"
UserC,Adachi,0.5224,0.1263,"school_count,rent_high,transport_score,commercial_score"
UserD,Setagaya,0.6619,0.1667,"school_count,population_density,transport_score"
UserE,Shinagawa,0.6685,0.1472,"rent_low,population_density,transport_score,commercial_score"
UserF,Shibuya,0.5363,0.1172,"rent_low,population_density,transport_score,commercial_score,crime_rate"
UserG,Koto,0.4424,0.0973,"rent_low,population_density,transport_score,commercial_score"
UserH,Shinjuku,0.7737,0.1742,"rent_low,population_density,transport_score,commercial_score"
UserI,Shinjuku,0.2292,0.0738,"school_count,rent_low,livability_score,transport_score"
UserJ,Setagaya,0.8459,0.2211,"school_count,rent_low,livability_score,crime_rate,transport_score"
UserK,Shinjuku,0.1085,0.0512,"livability_score,crime_rate,transport_score"
UserL,Koto,0.7008,0.1671,"school_count,rent_low,commercial_score"
